instances	feature	source
3393	name	total
3388	description	total
2109	version	total
3392	type_	total
883	links	total
2618	publication	total
1652	download	total
983	inst_instr	total
49	test	total
867	src	total
2407	os	total
540	input_	total
553	output	total
303	dependencies	total
2382	documentation	total
1855	license	total
0	termsUse	total
0	contribPolicy	total
1989	authors	total
437	repository	total
2319	name	biotools
2319	description	biotools
1038	version	biotools
2318	type_	biotools
0	links	biotools
2166	publication	biotools
631	download	biotools
668	inst_instr	biotools
0	test	biotools
67	src	biotools
2159	os	biotools
488	input_	biotools
488	output	biotools
0	dependencies	biotools
2072	documentation	biotools
838	license	biotools
0	termsUse	biotools
0	contribPolicy	biotools
1741	authors	biotools
179	repository	biotools
1046	name	bioconda
1044	description	bioconda
1046	version	bioconda
1046	type_	bioconda
1046	links	bioconda
210	publication	bioconda
1046	download	bioconda
0	inst_instr	bioconda
0	test	bioconda
1026	src	bioconda
0	os	bioconda
0	input_	bioconda
0	output	bioconda
0	dependencies	bioconda
0	documentation	bioconda
1040	license	bioconda
0	termsUse	bioconda
0	contribPolicy	bioconda
0	authors	bioconda
18	repository	bioconda
248	name	bioconductor
248	description	bioconductor
248	version	bioconductor
248	type_	bioconductor
74	links	bioconductor
248	publication	bioconductor
245	download	bioconductor
248	inst_instr	bioconductor
0	test	bioconductor
0	src	bioconductor
248	os	bioconductor
0	input_	bioconductor
0	output	bioconductor
245	dependencies	bioconductor
248	documentation	bioconductor
248	license	bioconductor
0	termsUse	bioconductor
0	contribPolicy	bioconductor
248	authors	bioconductor
248	repository	bioconductor
73	name	galaxyShed
69	description	galaxyShed
73	version	galaxyShed
73	type_	galaxyShed
0	links	galaxyShed
0	publication	galaxyShed
0	download	galaxyShed
73	inst_instr	galaxyShed
52	test	galaxyShed
0	src	galaxyShed
0	os	galaxyShed
0	input_	galaxyShed
0	output	galaxyShed
62	dependencies	galaxyShed
0	documentation	galaxyShed
0	license	galaxyShed
0	termsUse	galaxyShed
0	contribPolicy	galaxyShed
0	authors	galaxyShed
0	repository	galaxyShed
76	name	galaxyConfig
72	description	galaxyConfig
71	version	galaxyConfig
76	type_	galaxyConfig
0	links	galaxyConfig
33	publication	galaxyConfig
0	download	galaxyConfig
0	inst_instr	galaxyConfig
54	test	galaxyConfig
0	src	galaxyConfig
0	os	galaxyConfig
62	input_	galaxyConfig
73	output	galaxyConfig
0	dependencies	galaxyConfig
74	documentation	galaxyConfig
0	license	galaxyConfig
0	termsUse	galaxyConfig
0	contribPolicy	galaxyConfig
0	authors	galaxyConfig
0	repository	galaxyConfig
